job_id,category_path
LI-0118,Government & Public Sector > State & Local > Administration > City Manager
LI-0119,Creative & Media > Visual Arts > Illustration > Digital Artist
LI-0120,Legal > Intellectual Property > Patents > Patent Agent
LI-0121,Science & Research -> Environmental Science -> Climate -> Climate Scientist
LI-0122,Healthcare > Mental Health > Psychiatry > Child Psychiatrist
LI-0123,Human Resources -> Talent Acquisition -> Employer Branding -> Employer Brand Manager
LI-0124,Technology -> IT Infrastructure -> Networking -> Network Engineer
LI-0125,Human Resources > Compensation & Benefits > Compensation > Compensation Manager
LI-0126,Marketing & Sales > Sales > Inside Sales > Account Executive
LI-0127,Engineering > Aerospace > Space Systems > Propulsion Engineer
LI-0128,Creative & Media > Writing & Editorial > Publishing > Publishing Editor
LI-0129,Marketing & Sales > Digital Marketing > Content > Copywriter
LI-0130,Legal > Litigation > Criminal > Prosecutor
LI-0131,Technology > IT Infrastructure > Database > DBA MongoDB
LI-0132,Construction & Real Estate -> Construction -> Trades -> Plumber
LI-0133,Engineering > Civil Engineering > Transportation > Highway Engineer
LI-0134,Education > Higher Education > Professors > Adjunct Professor
LI-0135,Legal > Immigration > Family Immigration > Family Immigration Lawyer
LI-0136,Technology > Product & Design > Product Management > Technical PM
LI-0137,Marketing & Sales > Sales > Channel Sales > Partner Manager
LI-0138,Human Resources -> Organizational Development -> Change Management -> Change Manager
LI-0139,Legal > Immigration > Business Immigration > Immigration Attorney
LI-0140,Science & Research > Environmental Science > Climate > Atmospheric Scientist
LI-0141,Human Resources > HR Operations > HRIS > HRIS Analyst
LI-0142,Marketing & Sales -> Brand Management -> Brand Strategy -> Brand Strategist
LI-0143,Technology -> Software Development -> Backend -> Go Developer
LI-0144,Science & Research > Pharmaceutical > Clinical Trials > Clinical Research Associate
LI-0145,Creative & Media > Music & Audio > Music Production > Music Producer
LI-0146,Finance & Banking > Accounting > Corporate Accounting > Financial Analyst
LI-0147,Technology -> Data & Analytics -> Data Engineering -> Data Pipeline Architect
LI-0148,Education > Online Learning > Content Creation > Course Designer
LI-0149,Science & Research > Life Sciences > Biochemistry > Biochemist
LI-0150,Legal > Corporate Law > Securities > Securities Attorney
LI-0151,Engineering > Mechanical Engineering > Manufacturing > Industrial Engineer
LI-0152,Technology > IT Infrastructure > Database > DBA Oracle
LI-0153,Science & Research > Environmental Science > Sustainability > Environmental Consultant
LI-0154,Construction & Real Estate > Architecture > Landscape > Landscape Architect
LI-0155,Healthcare > Pharmacy > Clinical Pharmacy > Hospital Pharmacist
LI-0156,Construction & Real Estate -> Urban Planning -> City Planning -> Zoning Analyst
LI-0157,Engineering > Civil Engineering > Transportation > Traffic Engineer
LI-0158,Operations & Logistics -> Supply Chain -> Inventory -> Inventory Manager
LI-0159,Technology > Data & Analytics > Business Intelligence > BI Analyst
LI-0160,Education -> Higher Education -> Research -> Postdoctoral Fellow
LI-0161,Marketing & Sales > Sales > Inside Sales > Business Development Rep
LI-0162,Education > Student Services
LI-0163,Technology
LI-0164,Education
LI-0165,Healthcare > Mental Health > Counseling
LI-0166,Finance & Banking > Asset Management > Portfolio Management
LI-0167,Finance & Banking > Commercial Banking > Relationship Management
LI-0168,Creative & Media
LI-0169,Healthcare
LI-0170,Technology > Cybersecurity
LI-0171,Marketing & Sales > Digital Marketing
LI-0172,Education
LI-0173,Science & Research > Pharmaceutical > Drug Discovery
LI-0174,Healthcare
LI-0175,Operations & Logistics
LI-0176,Science & Research
LI-0177,Human Resources > Talent Acquisition
LI-0178,Human Resources
LI-0179,Human Resources
LI-0180,Creative & Media > Music & Audio
LI-0181,Education > Online Learning > Content Creation
LI-0182,Operations & Logistics > Supply Chain
