category_id,category_path
94,Technology > Data & Analytics > Business Intelligence > Tableau Developer
95,Marketing & Sales > Digital Marketing > SEO > SEO Specialist
96,Healthcare > Nursing & Allied Health > Registered Nursing > Pediatric Nurse
97,Creative & Media > Writing & Editorial > Publishing > Literary Agent
98,Finance & Banking > Commercial Banking > Lending > Credit Analyst
99,Technology > IT Infrastructure > Database > DBA PostgreSQL
100,Engineering > Electrical Engineering > Power Systems > Power Engineer
101,Human Resources > Diversity & Inclusion > DEI Programs > Inclusion Specialist
102,Finance & Banking > Insurance > Underwriting > Life Underwriter
103,Legal > Corporate Law > Contracts > Contract Manager
104,Engineering > Mechanical Engineering > Automotive > Powertrain Engineer
105,Finance & Banking > Accounting > Corporate Accounting > Cost Accountant
106,Marketing & Sales > Digital Marketing > SEM > PPC Specialist
107,Science & Research > Physical Sciences > Physics > Astrophysicist
108,Marketing & Sales > Sales > Inside Sales > Sales Development Rep
109,Creative & Media > Writing & Editorial > Journalism > Editor
110,Creative & Media > Video & Film > Production > Video Producer
111,Engineering > Chemical Engineering > Materials > Materials Scientist
112,Creative & Media > Gaming > Game Development > Game Programmer
113,Technology > IT Infrastructure > Cloud Services > AWS Solutions Architect
114,Science & Research > Mathematics > Statistics > Statistician
115,Marketing & Sales > Market Research > Consumer Insights > Market Research Analyst
116,Government & Public Sector > State & Local > Administration > City Manager
117,Education > Higher Education > Administration > Admissions Officer
118,Creative & Media > Visual Arts > Illustration > Digital Artist
119,Education > K-12 Teaching > High School > Guidance Counselor
120,Finance & Banking > Commercial Banking > Relationship Management > Private Banker
121,Government & Public Sector > Federal Government > Defense > Intelligence Analyst
122,Healthcare > Nursing & Allied Health > Lab & Diagnostics > Phlebotomist
123,Science & Research > Physical Sciences > Geology > Geophysicist
124,Legal > Intellectual Property > Patents > Patent Agent
125,Science & Research > Environmental Science > Climate > Climate Scientist
126,Construction & Real Estate > Real Estate > Residential > Real Estate Agent
127,Government & Public Sector > Nonprofit > Fundraising > Development Director
128,Education > Early Childhood > Daycare > Daycare Provider
129,Human Resources > Compensation & Benefits > Compensation > Compensation Manager
130,Operations & Logistics > Supply Chain > Procurement > Purchasing Agent
131,Marketing & Sales > Sales > Inside Sales > Account Executive
132,Finance & Banking > Financial Planning > Personal Finance > Financial Planner
133,Finance & Banking > Commercial Banking > Lending > Mortgage Specialist
134,Science & Research > Life Sciences > Biochemistry > Molecular Biologist
135,Legal > Litigation > Criminal > Prosecutor
136,Operations & Logistics > Manufacturing Operations > Lean > Lean Six Sigma Specialist
137,Construction & Real Estate > Construction > Trades > Plumber
138,Finance & Banking > Investment Banking > M&A > M&A Analyst
139,Legal > Immigration > Family Immigration > Family Immigration Lawyer
140,Finance & Banking > Investment Banking > Advisory > Financial Advisor
141,Human Resources > Employee Relations > Conflict Resolution > Employee Relations Specialist
142,Marketing & Sales > Digital Marketing > SEO > SEO Analyst
143,Legal > Immigration > Business Immigration > Immigration Attorney
144,Operations & Logistics > Supply Chain > Inventory > Demand Planner
145,Marketing & Sales > Customer Success > Account Management > Renewals Manager
146,Marketing & Sales > Brand Management > Brand Strategy > Brand Strategist
147,Human Resources > Diversity & Inclusion > DEI Programs > DEI Manager
148,Engineering > Electrical Engineering > Electronics > Circuit Designer
149,Education > Student Services > Career Services > Placement Officer
150,Technology > Data & Analytics > Data Engineering > Data Pipeline Architect
151,Legal > Tax Law > Federal Tax > Tax Attorney
152,Marketing & Sales > Public Relations > Crisis Management > Crisis Communications Manager
153,Education > Online Learning > Content Creation > Course Designer
154,Technology > Software Development > Full-Stack > LAMP Developer
155,Healthcare > Pharmacy > Retail Pharmacy > Pharmacy Technician
156,Technology > Cybersecurity > Network Security > Firewall Administrator
157,Healthcare > Clinical Medicine > Specialists > Dermatologist
158,Technology > Software Development > Backend > Java Developer
159,Marketing & Sales > Digital Marketing > SEM > Paid Media Manager
160,Marketing & Sales > Customer Success > Support > Technical Support Specialist
161,Construction & Real Estate > Architecture > Interior > Interior Designer
162,Engineering > Civil Engineering > Geotechnical > Geotechnical Engineer
163,Engineering > Civil Engineering > Transportation > Traffic Engineer
164,Operations & Logistics > Supply Chain > Inventory > Inventory Manager
165,Technology > Data & Analytics > Business Intelligence > BI Analyst
166,Education > Higher Education > Research > Postdoctoral Fellow
167,Healthcare > Clinical Medicine > Primary Care > Family Physician
168,Technology > Cybersecurity > Compliance > SOC Analyst
169,Engineering > Civil Engineering
170,Finance & Banking > Investment Banking > Advisory
171,Marketing & Sales > Sales > Field Sales
172,Science & Research
173,Operations & Logistics > Manufacturing Operations > Production
174,Science & Research > Physical Sciences
175,Human Resources > HR Operations
176,Technology > Data & Analytics > Business Intelligence
177,Creative & Media > Writing & Editorial
178,Marketing & Sales > Market Research > Consumer Insights
179,Education > Early Childhood
180,Education > Student Services > Career Services
181,Technology > Data & Analytics > Data Engineering
182,Technology > Cybersecurity
